"time","virtualBench_layout_v1.acc_x"
0.040234375,0.0017525895368607214
0.0404296875,0.007412783895323294
0.0404296875,0.007412783895323294
0.040625,0.005737442002371307
0.040625,0.005737442002371307
0.0408203125,7.472350848328202e-5
0.0408203125,7.472350848328202e-5
0.041,1.1405565180261368e-4
0.041015625,3.832609002987486e-4
0.041015625,3.832609002987486e-4
0.0412109375,0.003348671564727082
0.0412109375,0.003348671564727082
0.04140625,-5.058657534742217e-4
0.04140625,-5.058657534742217e-4
0.0416015625,-0.006948466319352226
0.0416015625,-0.006948466319352226
0.041796875,-0.0057156283572537825
0.041796875,-0.0057156283572537825
0.0419921875,-1.8821808137030327e-4
0.0419921875,-1.8821808137030327e-4
0.042,-4.45664653200839e-5
0.0421875,-1.160530604026877e-4
0.0421875,-1.160530604026877e-4
0.0423828125,-0.002898604232506763
0.0423828125,-0.002898604232506763
0.042578125,-1.886237796152046e-4
0.042578125,-1.886237796152046e-4
0.0427734375,0.0050680181518226175
0.0427734375,0.0050680181518226175
0.04296875,0.0048294651973253555
0.04296875,0.0048294651973253555
0.043,0.00426885339686188
0.0431640625,0.001204929269820812
0.0431640625,0.001204929269820812
0.043359375,8.001008838400131e-4
0.043359375,8.001008838400131e-4
0.0435546875,0.0018653287838672483
0.0435546875,0.0018653287838672483
0.04375,-3.161201685771692e-4
0.04375,-3.161201685771692e-4
0.0439453125,-0.003292721885492844
0.0439453125,-0.003292721885492844
0.044,-0.0035723867566128803
0.044140625,-0.0030652665389888645
0.044140625,-0.0030652665389888645
0.0443359375,-0.001791382606465386
0.0443359375,-0.001791382606465386
0.04453125,-0.002005165974899359
0.04453125,-0.002005165974899359
0.0447265625,-0.001350325530695487
0.0447265625,-0.001350325530695487
0.044921875,0.001227136818205174
0.044921875,0.001227136818205174
0.045,0.0020533853938037028
0.0451171875,0.0024332771852835083
0.0451171875,0.0024332771852835083
0.0453125,0.0015190294674901905
0.0453125,0.0015190294674901905
0.0455078125,0.00170567334624816
0.0455078125,0.00170567334624816
0.045703125,0.0028451254093819767
0.045703125,0.0028451254093819767
0.0458984375,0.0014562023884715086
0.0458984375,0.0014562023884715086
0.046,-1.9479406953126777e-4
0.04609375,-0.0015363351792580249
