"time","acc_x"
0.2,4.453544133475873e-8
0.201,-2.917426701276593e-6
0.202,-4.79347448190115e-6
0.203,-6.917689858165765e-7
0.204,-4.402229967448434e-6
0.205,-4.026023439684945e-6
0.206,1.1139010838157049e-6
0.207,4.6877546500123657e-7
0.208,-1.1413666628379282e-5
0.209,-1.5799622133438884e-5
0.21,5.475442310037826e-5
0.211,3.8150265237679726e-5
0.212,-1.1267894309263671e-4
0.213,6.70639705703191e-4
0.214,-0.0012467606698485234
0.215,-4.294249570819808e-4
0.216,0.0016742680286436218
0.217,-6.343355451729482e-4
0.218,-6.575670112668464e-5
0.219,8.827364178848329e-5
0.22,-1.1360989000847033e-4
0.221,1.780621849101771e-4
0.222,-1.3591346308094998e-4
0.223,-1.529203375877919e-4
0.224,4.3377942819927684e-4
0.225,-1.1902038803396353e-4
0.226,-2.130298731661262e-4
0.227,4.938020179142688e-4
0.228,4.262861716930466e-5
0.229,-4.662649228404647e-4
0.23,5.864375321588677e-4
0.231,-0.0011481783523600297
0.232,0.0017024586284229981
0.233,-5.783793361063827e-4
0.234,5.5630092413161414e-5
0.235,-1.5418024154295606e-4
0.236,-0.006607312030161516
0.237,-0.0035833966841609666
0.238,-0.0020262814044429422
0.239,5.877641712818682e-4
0.24,4.1365811394161733e-4
0.241,-2.871484980417893e-4
0.242,5.808528354119824e-4
0.243,-6.728469137448068e-4
0.244,7.028062334598628e-4
0.245,-4.823824813394162e-4
0.246,-9.170708527470595e-4
0.247,0.001815494888821989
0.248,-8.718869365405002e-4
0.249,3.9471052566009135e-4
0.25,2.88040384030519e-5
0.251,-6.245496047020405e-4
0.252,8.169409269491723e-4
0.253,-6.054213323483659e-4
0.254,5.9339993654483614e-5
0.255,3.9066839736273673e-4
0.256,-4.5213583483288966e-4
0.257,7.805070520492952e-4
0.258,-0.0010717801198978916
0.259,6.796493299836004e-4
0.26,-1.8262531689233752e-4
0.261,-2.522091104658064e-4
0.262,4.514867185449467e-4
0.263,-5.172436782606149e-4
0.264,3.6560308775279715e-4
0.265,-1.6053670086574323e-4
0.266,-1.5081660272869835e-4
0.267,4.409202382020805e-4
0.268,-5.77247469092379e-4
0.269,6.245714961079507e-4
0.27,-5.104630083085926e-4
0.271,6.420154766413888e-4
0.272,-4.5519370332053333e-4
0.273,-4.792364143004768e-4
0.274,9.872692193822474e-4
0.275,0.0011856524072674235
0.276,0.0035118959116999804
0.277,-0.004003180226249181
0.278,-0.013652203241170835
0.279,-0.007881749226092583
0.28,-0.0029495569590127224
0.281,-9.60924262294327e-6
0.282,-4.27241716121296e-4
0.283,0.0014177388044945283
0.284,0.001105031168974313
0.285,5.085446830344065e-4
0.286,9.259148231771652e-5
0.287,-4.513100908745682e-4
0.288,1.96418484914751e-4
0.289,-4.583843956856848e-5
0.29,-9.372889004888307e-5
0.291,1.3729714678151206e-4
0.292,-9.493489558576318e-5
0.293,-3.3324399030754126e-5
0.294,1.2216290316341416e-4
0.295,-1.5719519352769273e-4
0.296,6.991736495781664e-5
0.297,3.129127697315548e-5
0.298,-7.728351154062674e-5
0.299,7.325714629141666e-5
0.3,-4.790112927310908e-5
0.301,-2.1279298910825695e-5
0.302,4.642757314010648e-5
0.303,-2.2428201578661433e-5
0.304,-1.2599952399439118e-5
0.305,1.931106208191702e-5
0.306,-7.529975222853036e-6
0.307,-1.1189501034347682e-5
0.308,1.652040546423761e-5
0.309,-9.96391186497414e-6
0.31,-2.1843814199007383e-5
0.311,2.4587673321141423e-5
0.312,-1.162965537204741e-6
0.313,-2.105433697252579e-5
0.314,1.1220012371193633e-5
0.315,4.967324119586891e-6
0.316,-9.695266792231205e-6
0.317,3.122300108793219e-6
0.318,4.237085233227411e-6
0.319,-8.848896631441505e-6
0.32,-1.0654902914297715e-5
0.321,-5.057399519781125e-6
0.322,3.3865344074013315e-6
0.323,3.4448653728480494e-6
0.324,-3.878961246595036e-6
0.325,-4.835521582924329e-6
0.326,-3.2291849921817217e-7
0.327,1.4745305133567754e-6
0.328,-4.0468055662046254e-7
0.329,-3.525664393044803e-6
0.33,-2.5096651654621382e-6
0.331,1.5431083460470951e-6
0.332,2.6644626524019444e-6
0.333,-1.97818405844874e-6
0.334,-6.101405551739436e-6
0.335,-3.6549618870340694e-6
0.336,4.6163037074609115e-6
0.337,5.028866292222656e-6
0.338,-7.669826802725321e-6
0.339,-1.0528566200151968e-5
0.34,-7.467791607318475e-9
0.341,1.010701515918866e-5
0.342,5.248609809382909e-6
0.343,-9.067016042085818e-6
0.344,-1.1329593938513849e-5
0.345,2.9770926719963064e-6
0.346,5.01204236325048e-6
0.347,-2.353210856065324e-6
0.348,-4.120122415740557e-6
0.349,-1.6046234167510498e-6
0.35,3.35480609681138e-6
0.351,4.371363623634217e-6
0.352,-2.2430067874168458e-6
0.353,-8.287266231921109e-6
0.354,-3.5368441946848073e-6
0.355,6.160684686895568e-6
0.356,6.356093151083098e-6
0.357,-1.3081282016491613e-5
0.358,-1.7232805764655357e-5
0.359,5.682427190067951e-6
0.36,1.4960105993722106e-5
0.361,-1.0318430613609486e-5
0.362,-1.2553012694593857e-5
0.363,1.9918355269044064e-6
0.364,3.862467553850113e-6
0.365,-4.409275761174669e-8
0.366,-2.4089825341189197e-6
0.367,-3.1230043627816784e-6
0.368,-1.3973785858989451e-6
0.369,6.033480510259093e-6
0.37,6.381196377081011e-6
0.371,-7.760743907458956e-6
0.372,-1.3487351444463336e-5
0.373,2.4394929859505865e-6
0.374,1.9208756083410883e-5
0.375,-6.950439751907123e-6
0.376,-1.2388155801068557e-5
0.377,5.112351800951043e-6
0.378,1.249194497021655e-5
0.379,4.317427827915665e-6
0.38,-8.648807837408068e-6
0.381,-5.509103007783622e-6
0.382,9.362349356223376e-6
0.383,1.1312185748346693e-5
0.384,2.767448095686298e-7
0.385,-1.3281616616456215e-5
0.386,-2.8504729434608578e-6
0.387,8.09871785040217e-6
0.388,8.962844612603327e-7
0.389,-2.062789197565529e-6
0.39,2.822081422437783e-7
0.391,-1.2090424645339048e-6
0.392,-1.1288025763556142e-6
0.393,-1.8765954137855978e-6
0.394,-6.07528039026084e-6
0.395,-6.214625269285179e-6
0.396,-3.0276664340078696e-6
0.397,8.880659559951098e-7
0.398,3.5267710301045696e-6
0.399,2.267339963391013e-6
0.4,7.1753243515160214e-6
0.401,1.2934112606777237e-5
0.402,-3.634108320937912e-6
0.403,-2.3489739392534847e-5
0.404,-7.711647222241602e-6
0.405,1.8737069172325427e-6
0.406,-1.0644134394999227e-6
0.407,7.922760605350021e-7
0.408,1.6314266869654759e-6
0.409,2.2358563699920175e-6
0.41,2.7082732735883575e-6
0.411,3.1423807110297908e-6
0.412,2.7050486758328773e-6
0.413,-1.2580863290034827e-6
0.414,-1.354223364546936e-5
0.415,-2.7715462931343637e-6
0.416,3.096948003755706e-5
0.417,-4.929226280703247e-6
0.418,-6.109946866361682e-5
0.419,-2.963961955027017e-5
0.42,-8.498748187590888e-6
0.421,-5.303538974654742e-7
0.422,1.7707757106188993e-6
0.423,9.372760549908321e-7
0.424,-3.0771189396539e-7
0.425,-1.0354525408207138e-6
0.426,-1.0952957899545979e-6
0.427,-1.0612065735604581e-6
0.428,-8.4284880680352e-7
0.429,-7.224791437887568e-7
0.43,-6.316948337192763e-7
0.431,-6.029405661966969e-7
0.432,-6.510031997364329e-7
0.433,-7.171236746650322e-7
0.434,-7.456220105783729e-7
0.435,-7.673931096685571e-7
0.436,-7.57732639355968e-7
0.437,-7.179361362075198e-7
0.438,-6.997601789682228e-7
0.439,-7.02026383581078e-7
0.44,-7.072790064732715e-7
0.441,-7.143711364676619e-7
0.442,-7.198675918140829e-7
0.443,-7.15435381715146e-7
0.444,-7.043031555187262e-7
0.445,-6.990088935454608e-7
0.446,-6.969199878859023e-7
0.447,-6.955629973659505e-7
0.448,-6.946994479672952e-7
0.449,-6.923461370877959e-7
0.45,-6.856316596692835e-7
0.451,-6.815493107659165e-7
0.452,-6.807611801495916e-7
0.453,-6.812995604343897e-7
0.454,-6.835039528807485e-7
0.455,-6.863138924395606e-7
0.456,-6.856288930490173e-7
0.457,-6.823939075473184e-7
0.458,-6.753287956073883e-7
0.459,-6.629610628805516e-7
0.46,-6.55451331543766e-7
0.461,-6.510511927904084e-7
0.462,-6.502239807137933e-7
0.463,-6.548341220380394e-7
0.464,-6.562580948110686e-7
0.465,-6.56335498283589e-7
0.466,-6.550233471180889e-7
0.467,-6.511540089348955e-7
